user_id, local_clustering_coefficient, eigenvector_centrality, degree_centrality, closeness_centrality, betweenness_centrality, community_id, champion
<id-number>,1,0.000394017,0.000322165,0.308582194,0,0,0
<id-number>,1,0.001217844,0.000322165,0.341082423,0,0,0
<id-number>,1,0.000481581,0.000322165,0.315951133,0,0,0
<id-number>,1,0.001987038,0.000483247,0.355311316,0,0,0
<id-number>,1,0.002387698,0.00064433,0.350207019,0,0,0
<id-number>,1,0.001448076,0.001127577,0.334594743,0,0,0
<id-number>,1,0.00167437,0.000322165,0.348217878,0,0,0
<id-number>,1,0.002152694,0.000483247,0.356313172,0,0,0
<id-number>,1,0.001678657,0.001127577,0.337770582,0,0,0
<id-number>,1,0.002612768,0.000966495,0.349791566,0,0,0
<id-number>,1,0.001410475,0.00064433,0.341911116,0,0,0
<id-number>,1,0.001767689,0.000483247,0.352319221,0,0,0
<id-number>,1,4.08E-05,0.000322165,0.267485002,0,0,0
<id-number>,1,0.00122682,0.000322165,0.349949718,0,0,0
<id-number>,1,0.004409615,0.000805412,0.376162463,0,0,0
<id-number>,1,0.001940979,0.000322165,0.355209403,0,0,0
<id-number>,1,0.001321864,0.000483247,0.350108013,0,0,0
<id-number>,1,0.001652384,0.000322165,0.352519801,0,0,0
<id-number>,1,0.000596907,0.00064433,0.320779688,0,0,0
<id-number>,1,0.00073221,0.000322165,0.33290378,0,0,0
<id-number>,1,0.002089407,0.000966495,0.352640259,0,0,0
<id-number>,1,0.001941943,0.000805412,0.343599706,0,0,0
<id-number>,1,0.000803326,0.001127577,0.324545852,0,0,0
<id-number>,1,0.000310799,0.000322165,0.311720213,0,0,0
<id-number>,1,0.001253814,0.000322165,0.350088218,0,0,0
<id-number>,1,6.34E-05,0.000322165,0.275555619,0,0,0
<id-number>,1,0.00107247,0.000322165,0.338768482,0,0,0
<id-number>,1,0.000528797,0.000322165,0.322450154,0,0,0
<id-number>,1,0.003353977,0.000966495,0.371669286,0,0,0
<id-number>,1,0.000770564,0.000322165,0.333693162,0,0,0
<id-number>,1,0.001676791,0.00064433,0.348276636,0,0,0
<id-number>,1,0.000619758,0.000322165,0.323410128,0,0,0
<id-number>,1,0.002589132,0.000966495,0.351658923,0,0,0
<id-number>,1,0.005897692,0.002094072,0.38741227,0,0,0
<id-number>,1,0.002532441,0.000483247,0.361113332,0,0,0
<id-number>,1,0.00112713,0.000966495,0.331247542,0,0,0
<id-number>,1,0.001661551,0.00064433,0.338675836,0,0,0
<id-number>,1,0.00035197,0.000322165,0.309075088,0,0,0
<id-number>,1,0.00164106,0.000483247,0.342573184,0,0,0
<id-number>,1,0.002498181,0.00128866,0.34522805,0,0,0
<id-number>,1,0.001712738,0.001610825,0.334504365,0,0,0
<id-number>,1,0.001399653,0.000322165,0.349712544,0,0,0
<id-number>,1,0.001651899,0.000483247,0.351339668,0,0,0
<id-number>,1,0.001350513,0.000483247,0.336029213,0,0,0
<id-number>,1,0.00135736,0.000322165,0.340407384,0,0,0
<id-number>,1,0.00136873,0.000805412,0.341026068,0,0,0
<id-number>,1,0.001868137,0.000805412,0.362721007,0,0,0
<id-number>,1,0.000551854,0.000483247,0.318715787,0,0,0
<id-number>,1,0.001882649,0.000322165,0.353687685,0,0,0
<id-number>,1,0.001882649,0.000322165,0.353687685,0,0,0
<id-number>,1,0.000961252,0.00064433,0.329695453,0,0,0
<id-number>,1,0.001470028,0.000322165,0.350881754,0,0,0
<id-number>,1,0.000783253,0.000322165,0.332278525,0,0,0
<id-number>,1,0.001340866,0.000483247,0.350108013,0,0,0
